"Player","Usage"
"Dame.Dollar",5.951
"Jared",5.292
"Free.Sample.Costco.Employee",4.89
"Dash",4.534
"Thomas.The.Train",4.465
"Attacker",4.424
"Bryan.Woo",3.727
"Freddie.Freeman",3.671
"Sarah",3.55
"Adalee",3.365
"Jimmy.s.mom",3.253
"Left.Wing",3.114
"CalebP",3.051
"DDog",3.036
"Violet",2.674
"Adrain",2.555
"Wemby",2.462
"Rudy.Gobert",2.437
"Mr..P",2.417
"Denzel",2.384
"Kris.Dunn",2.373
"Handsome.Jack",2.219
"Mookie.Betts",2.198
"Right.Wing",2.161
"Mystery.Girl",2.16
"Anthony.Edwards",2.154
"Wilson",2.122
"Shannon",2.117
"Anna",2.099
"Mario",2.072
"Thomas",2.012
"Chip",2.005
"Cindy",1.952
"Jimmy",1.949
"Mr..Crocker",1.947
"Triple.Decker",1.937
"Dominus",1.936
"Alec",1.896
"Russ",1.891
"Nathaniel",1.865
"Lamelo.Ball",1.8
"Ralph",1.789
"Cosmo",1.744
"CalebB",1.696
"Cal.Raleigh",1.681
"Messi",1.639
"CJ.Bott",1.634
"Octane",1.631
"Hyrum",1.619
"Link",1.618
"Clayton.Kershaw",1.61
"Kareem",1.603
"Andy.Pages",1.593
"Hay.Hay",1.589
"Tobias",1.532
"Linda",1.528
"Brooklyn",1.474
"Frost",1.456
"Jordan",1.444
"Darryl",1.443
"Spencer",1.433
"Trey",1.411
"Tyler",1.407
"Defender",1.359
"Jimbo",1.35
"Shohei.Ohtani",1.34
"Master.Chief",1.332
"Bradley.Beal",1.33
"Joe",1.328
"Pink.Taki.s.bag",1.328
"Rush",1.319
"Jansen",1.315
"Centerback",1.308
"Wanda",1.299
"Rui.Hachimura",1.269
"Deni.Avdija",1.264
"Mr..Locksmith",1.255
"Drew",1.252
"Arthur.Morgan",1.227
"Pyro",1.21
"Ethan",1.21
"Ashley",1.184
"Roland",1.182
"Mike.Brown.s.shadow",1.177
"Luigi",1.17
"Jarod",1.168
"Dylan",1.167
"Carl",1.161
"Gideon",1.154
"George.Kirby",1.148
"George.Lombard.Jr.",1.146
"Toby",1.145
"Journey",1.137
"Darius.Garland",1.125
"Nick",1.121
"Brooke",1.115
"Sabonis",1.107
"Trey.Lyles",1.1
"John.Marston",1.093
"Syndrome",1.085
"Keegan.Murray",1.076
"Nathan.Drake",1.058
"Elias",1.054
"Ore.Port",1.047
"Westbrook",1.041
"Fennec",1.027
"Ashley.Wilson",1.027
"Eli",1.015
"Brook.Lopez",1.014
"Kelp",1.013
"Aric",1.005
"Mylee",0.992
"Yoshi",0.989
"Alley",0.988
"Timmy",0.986
"Susan",0.965
"Donovan.Clingan",0.961
"Bugs",0.956
"Jaxsyn",0.953
"Big.Nate",0.943
"Logan.Gilbert",0.934
"Josh.Naylor",0.933
"Lilith",0.926
"Dailey",0.925
"Nate",0.921
"Nathan",0.919
"Ben",0.915
"Goalie",0.912
"Evan",0.906
"Sheen",0.865
"Tyson",0.854
"Blue.Toad",0.842
"Julio.Rodriguez",0.839
"Zach.Lavine",0.837
"Whooly",0.824
"Clap.Trap",0.814
"Narwhal",0.784
"Buddy",0.761
"Demar.Defrozen",0.755
"Bobby",0.748
"Shaggy",0.713
"Brynn",0.644
"Raj",0
"Matt",0
"Ben.Rice",0
"Victor.Sullivan",0
"Wes",0
"Captain.Hook",0
"Deaaron.Fox",0
"Blake.Snell",0
